🕘️更新时间,#genre#
2025-03-10 06:31:11,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8?

📺央视频道,#genre#
CCTV-1,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8?
CCTV-1,https://api.olelive.com/dis/live/CCTV1HD/hls.m3u8
CCTV-1,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=2328&tk=a0c4f6cfaba3
CCTV-1,http://111.9.163.109
CCTV-1,https://piccpndali.v.myalicdn.com/audio/cctv1_2.m3u8
CCTV-1,http://205.185.120.154
CCTV-1,http://139.196.151.191/rtp/239.45.3.145:5140
CCTV-1,http://139.196.214.238/rtp/239.45.3.145:5140
CCTV-1,http://play.kankanlive.com/live/1661761962676984.m3u8
CCTV-1,http://itv.nctv.top
CCTV-2,https://api.olelive.com/dis/live/CCTV2HD/hls.m3u8
CCTV-2,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=7498&tk=a0c4f6cfaba3
CCTV-2,http://111.9.163.109
CCTV-2,https://piccpndali.v.myalicdn.com/audio/cctv2_2.m3u8
CCTV-2,http://205.185.120.154
CCTV-2,http://139.196.151.191/rtp/239.45.1.109:5140
CCTV-2,http://139.196.214.238/rtp/239.45.1.109:5140
CCTV-2,http://83.229.120.192
CCTV-2,http://111.170.172.113
CCTV-3,https://api.olelive.com/dis/live/CCTV3HD/hls.m3u8
CCTV-3,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=9659&tk=a0c4f6cfaba3
CCTV-3,http://111.9.163.109
CCTV-3,https://piccpndali.v.myalicdn.com/audio/cctv3_2.m3u8
CCTV-3,http://205.185.120.154
CCTV-3,http://139.196.151.191/rtp/239.45.1.68:5140
CCTV-3,http://139.196.214.238/rtp/239.45.1.68:5140
CCTV-3,http://itv.nctv.top
CCTV-3,http://83.229.120.192
CCTV-4,https://api.olelive.com/dis/live/CCTV4HD/hls.m3u8
CCTV-4,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=9684&tk=a0c4f6cfaba3
CCTV-4,http://111.9.163.109
CCTV-4,https://piccpndali.v.myalicdn.com/audio/cctvamerica_2.m3u8
CCTV-4,http://205.185.120.154
CCTV-4,http://139.196.151.191/rtp/239.45.0.2:5140
CCTV-4,http://139.196.214.238/rtp/239.45.0.2:5140
CCTV-4,http://83.229.120.192
CCTV-4,http://111.170.172.113
CCTV-5,http://api3.52tb.xyz/info?id=7&token=20230402fxrjwi
CCTV-5,https://api.olelive.com/dis/live/CCTV5HD/hls.m3u8
CCTV-5,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=3713&tk=a0c4f6cfaba3
CCTV-5,http://111.9.163.109
CCTV-5,https://piccpndali.v.myalicdn.com/audio/cctv5_2.m3u8
CCTV-5,http://205.185.120.154
CCTV-5,http://139.196.151.191/rtp/239.45.1.69:5140
CCTV-5,http://139.196.214.238/rtp/239.45.1.69:5140
CCTV-5,http://83.229.120.192
CCTV-5,http://111.170.172.113
CCTV-5+,https://api.olelive.com/dis/live/CCTV5PHD/hls.m3u8
CCTV-5+,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=6216&tk=a0c4f6cfaba3
CCTV-5+,https://piccpndali.v.myalicdn.com/audio/cctv5plus_2.m3u8
CCTV-5+,http://205.185.120.154
CCTV-5+,http://83.229.120.192
CCTV-5+,http://47.76.150.170
CCTV-6,https://api.olelive.com/dis/live/CCTV6HD/hls.m3u8
CCTV-6,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=6540&tk=a0c4f6cfaba3
CCTV-6,http://111.9.163.109
CCTV-6,https://piccpndali.v.myalicdn.com/audio/cctv6_2.m3u8
CCTV-6,http://205.185.120.154
CCTV-6,http://139.196.151.191/rtp/239.45.1.70:5140
CCTV-6,http://139.196.214.238/rtp/239.45.1.70:5140
CCTV-6,http://83.229.120.192
CCTV-6,http://111.170.172.113
CCTV-6,http://47.76.150.170
CCTV-7,https://api.olelive.com/dis/live/CCTV7HD/hls.m3u8
CCTV-7,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=7285&tk=a0c4f6cfaba3
CCTV-7,https://piccpndali.v.myalicdn.com/audio/cctv7_2.m3u8
CCTV-7,http://205.185.120.154
CCTV-7,http://139.196.151.191/rtp/239.45.3.56:5140
CCTV-7,http://139.196.214.238/rtp/239.45.3.56:5140
CCTV-7,http://itv.nctv.top
CCTV-7,http://83.229.120.192
CCTV-7,http://111.170.172.113
CCTV-8,https://api.olelive.com/dis/live/CCTV8HD/hls.m3u8
CCTV-8,https://ldocctvwbcdbd.a.bdydns.com/ldocctvwbcd/cdrmldcctv8_1/index.m3u8?BR=hd
CCTV-8,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=2956&tk=a0c4f6cfaba3
CCTV-8,http://111.9.163.109
CCTV-8,https://piccpndali.v.myalicdn.com/audio/cctv8_2.m3u8
CCTV-8,http://205.185.120.154
CCTV-8,http://139.196.151.191/rtp/239.45.1.71:5140
CCTV-8,http://139.196.214.238/rtp/239.45.1.71:5140
CCTV-8,http://83.229.120.192
CCTV-9,https://api.olelive.com/dis/live/CCTV9HD/hls.m3u8
CCTV-9,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=6503&tk=a0c4f6cfaba3
CCTV-9,https://piccpndali.v.myalicdn.com/audio/cctv9_2.m3u8
CCTV-9,http://205.185.120.154
CCTV-9,http://139.196.151.191/rtp/239.45.3.4:5140
